checkin_dt,checkin_mode,checkin_type,can_shop,contact_id,membership_type,membership_status,member_since,membership_start_date,hours_0,hours_1,hours_2
2020-06-03 17:19:01.972160,click,visitor,True,,,,,,,,
2020-06-03 17:19:11.882413,click,visitor,True,,,,,,,,
2020-06-03 17:19:14.662646,click,visitor,True,,,,,,,,
2020-06-03 17:19:27.116576,click,visitor,True,,,,,,,,
2020-06-03 17:22:53.580935,click,visitor,True,,,,,,,,
2020-06-03 17:27:15.978652,click,visitor,True,,,,,,,,
2020-06-03 17:31:56.460068,click,visitor,True,,,,,,,,
2020-06-03 17:32:00.682712,click,visitor,True,,,,,,,,
2020-06-03 17:32:02.464441,click,visitor,True,,,,,,,,
2020-06-03 17:35:35.411973,click,psfc,True,,,,,,,,
2020-06-03 17:35:52.295788,click,psfc,True,,,,,,,,
2020-06-03 17:44:26.041361,click,psfc,True,,,,,,,,
2020-06-03 17:55:10.779989,click,psfc,True,,,,,,,,
2020-06-03 18:01:45.147494,email,,True,3970.0,Lettuce Plan,Current,2017-01-15,2018-08-30,1.67,7.5,4.16
2020-06-03 18:06:44.829438,click,psfc,True,,,,,,,,
2020-06-03 18:08:40.802749,click,psfc,True,,,,,,,,
2020-06-03 18:09:16.807923,email,,True,885.0,Lettuce Plan,Current,2011-01-03,2011-01-03,0.0,2.25,3.0
2020-06-03 18:11:28.066393,click,psfc,True,,,,,,,,
2020-06-03 18:11:56.036958,email,,True,4883.0,Carrot Plan,Current,2019-06-07,2020-01-12,0.0,2.42,5.25
2020-06-03 18:13:29.546104,email,,True,3054.0,Apple Plan,Current,2016-06-11,2016-06-11,0.0,4.92,7.42
2020-06-03 18:19:13.218850,click,psfc,True,,,,,,,,
2020-06-03 18:19:53.531540,click,psfc,True,,,,,,,,
2020-06-03 18:28:21.996315,click,psfc,True,,,,,,,,
2020-06-03 18:39:56.691913,click,psfc,True,,,,,,,,
2020-06-03 18:41:10.458176,email,,False,127.0,Zucchini Plan,Expired,2018-09-29,2018-09-29,3.0,5.5,2.5
2020-06-03 18:51:06.484504,click,psfc,True,,,,,,,,
2020-06-03 18:53:56.156127,email,,True,5823.0,,,,,,,
2020-06-03 18:54:09.416593,email,,True,5823.0,,,,,,,
2020-06-04 07:44:56.175760,email,,True,13.0,Carrot Plan,Current,2014-08-18,2014-08-18,0.0,8.09,3.67
2020-06-04 15:22:18.582940,barcode,,True,4673.0,Lettuce Plan,Current,2019-04-14,2019-05-29,2.5,2.92,0.0
2020-06-04 15:32:09.876855,email,,True,3826.0,Lettuce Plan,Current,2017-12-02,2017-12-02,0.0,4.67,0.0
2020-06-04 15:32:29.319737,email,,True,3826.0,Lettuce Plan,Current,2017-12-02,2017-12-02,0.0,4.67,0.0
2020-06-04 15:32:45.566234,barcode,,True,5286.0,Apple Plan,Current,2019-11-17,2020-05-20,3.0,2.83,2.75
2020-06-04 16:14:09.601443,email,,False,3987.0,Carrot Plan,General Leave,2018-02-04,2019-08-12,,,
2020-06-04 16:16:53.154543,click,visitor,True,,,,,,,,
2020-06-04 16:17:01.098623,click,visitor,True,,,,,,,,
2020-06-04 16:17:12.556180,click,visitor,True,,,,,,,,
2020-06-04 16:17:31.496442,click,psfc,True,,,,,,,,
2020-06-04 16:17:36.226190,click,visitor,True,,,,,,,,
2020-06-04 16:18:33.197071,barcode,,True,2657.0,Lettuce Plan,Current,2014-07-29,2014-07-29,0.0,5.0,0.0
2020-06-04 16:26:20.269204,barcode,,True,102.0,Lettuce Plan,Current,2018-10-09,2018-10-10,2.75,2.5,0.0
2020-06-04 16:32:53.455394,email,,True,5279.0,Avocado Plan,Current,2019-10-26,2020-04-26,0.0,2.92,1.0
2020-06-04 16:45:47.086997,email,,False,3859.0,Lettuce Plan,Cancelled,2018-08-17,2019-07-10,,,
2020-06-04 16:53:30.231552,barcode,,True,5825.0,,,,,,,
2020-06-04 16:57:14.952930,email,,True,4225.0,Lettuce Plan,Current,2018-08-23,2018-08-23,0.0,2.5,0.0
2020-06-04 17:03:14.229418,barcode,,True,5807.0,,,,,,,
2020-06-04 17:04:16.662170,email,,True,5807.0,,,,,,,
2020-06-04 17:25:32.056686,click,visitor,True,,,,,,,,
2020-06-04 17:25:36.815604,click,visitor,True,,,,,,,,
2020-06-04 17:25:53.675540,click,visitor,True,,,,,,,,
2020-06-04 17:43:15.764945,click,psfc,True,,,,,,,,
2020-06-04 18:19:43.924414,click,visitor,True,,,,,,,,
2020-06-04 18:19:53.540414,click,visitor,True,,,,,,,,
2020-06-04 18:19:55.342452,click,visitor,True,,,,,,,,
2020-06-04 18:20:21.272967,click,visitor,True,,,,,,,,
2020-06-04 18:21:59.577633,click,visitor,True,,,,,,,,
2020-06-04 18:22:20.683346,click,visitor,True,,,,,,,,
2020-06-04 18:25:09.518470,email,,True,3460.0,Lettuce Plan,Current,2017-01-14,2017-01-14,1.089999999999999,1.83,2.58
2020-06-04 18:32:12.587966,email,,True,553.0,Carrot Plan,Current,2018-12-18,2018-12-18,0.0,5.42,0.0
2020-06-04 19:03:09.040247,email,,True,3473.0,Avocado Plan,Current,2017-03-12,2017-03-12,2.67,0.0,2.67
2020-06-05 08:28:57.152413,click,psfc,True,,,,,,,,
2020-06-05 08:28:58.896850,click,visitor,True,,,,,,,,
2020-06-05 08:29:03.905853,email,ghfc,True,13.0,Carrot Plan,Current,2014-08-18,2014-08-18,0.0,8.09,3.67
2020-06-05 08:29:05.277896,click,psfc,True,,,,,,,,
2020-06-05 08:29:06.759236,click,visitor,True,,,,,,,,
2020-06-05 14:16:14.581997,email,ghfc,True,774.0,Lettuce Plan,Current,2010-09-10,2010-09-10,0.0,8.0,8.0
2020-06-05 14:39:51.598523,email,ghfc,True,2947.0,Lettuce Plan,Current,2016-06-11,2016-06-11,0.0,3.0,0.0
2020-06-05 14:42:26.579855,email,ghfc,True,4254.0,Carrot Plan,Current,2018-12-19,2019-04-06,2.75,3.0,0.0
2020-06-05 14:56:27.809482,click,visitor,True,,,,,,,,
2020-06-05 14:56:32.961896,click,visitor,True,,,,,,,,
2020-06-05 14:56:41.767424,email,trial,False,5673.0,,,,,,,
2020-06-05 15:10:04.470372,click,visitor,True,,,,,,,,
2020-06-05 15:11:29.715744,click,visitor,True,,,,,,,,
2020-06-05 15:29:13.216082,barcode,trial,True,5816.0,,,,,,,
2020-06-05 15:32:01.943370,click,psfc,True,,,,,,,,
2020-06-05 15:32:04.652451,click,psfc,True,,,,,,,,
2020-06-05 15:32:04.817341,click,psfc,True,,,,,,,,
2020-06-05 15:32:38.728830,click,psfc,True,,,,,,,,
2020-06-05 15:44:14.788566,email,ghfc,True,304.0,Lettuce Plan,Current,2018-10-17,2018-10-17,2.5,2.5,5.0
2020-06-05 15:47:11.328509,click,visitor,True,,,,,,,,
2020-06-05 15:47:20.752545,click,visitor,True,,,,,,,,
2020-06-05 15:47:24.502757,click,visitor,True,,,,,,,,
2020-06-05 15:47:27.973562,click,visitor,True,,,,,,,,
2020-06-05 15:47:55.748397,click,psfc,True,,,,,,,,
2020-06-05 15:53:36.670254,email,ghfc,True,2543.0,Lettuce Plan,Current,2014-01-14,2014-01-14,5.26,20.85,16.990000000000002
2020-06-05 16:01:07.849467,barcode,ghfc,True,2759.0,Carrot Plan,Current,2015-01-29,2019-02-10,2.67,0.0,0.0
2020-06-05 16:19:09.349376,click,visitor,True,,,,,,,,
2020-06-05 16:23:44.036819,click,psfc,True,,,,,,,,
2020-06-05 16:26:48.750205,barcode,ghfc,True,210.0,Lettuce Plan,Current,2018-10-07,2019-04-14,3.969999999999999,7.96,3.96
2020-06-05 16:27:16.018570,barcode,ghfc,True,4817.0,Carrot Plan,Current,2019-05-20,2019-05-20,2.75,2.42,2.5
2020-06-05 16:36:45.083055,email,ghfc,True,1503.0,Lettuce Plan,Current,2012-02-08,2020-01-04,2.25,0.0,2.25
2020-06-05 16:43:24.173088,email,ghfc,True,4624.0,Apple Plan,Current,2019-04-05,2019-04-05,0.0,3.0,2.83
2020-06-05 16:47:47.231211,click,visitor,True,,,,,,,,
2020-06-05 16:52:22.876497,email,ghfc,True,1304.0,Lettuce Plan,Current,2011-12-13,2011-12-13,2.42,4.75,2.58
2020-06-05 16:57:14.845196,email,ghfc,True,2553.0,Lettuce Plan,Current,2014-01-27,2014-01-27,4.66,5.67,7.58
2020-06-05 16:59:18.391043,email,ghfc,True,5340.0,Carrot Plan,Current,2019-11-14,2019-11-14,0.0,2.5,2.5
2020-06-05 17:14:10.359106,barcode,ghfc,True,3908.0,Carrot Plan,Current,2018-09-04,2018-09-04,0.0,4.83,5.0
2020-06-05 17:18:52.233042,click,psfc,True,,,,,,,,
2020-06-05 17:23:24.087211,email,ghfc,True,4802.0,Lettuce Plan,Current,2019-05-17,2019-06-03,0.0,12.33,1.5
2020-06-05 17:24:34.618675,email,ghfc,True,2665.0,Lettuce Plan,Current,2014-08-06,2014-08-06,0.0,0.0,4.0
2020-06-05 17:36:47.844678,click,psfc,True,,,,,,,,
2020-06-05 17:39:25.770392,click,psfc,True,,,,,,,,
2020-06-05 17:42:26.471540,email,ghfc,True,3309.0,Carrot Plan,Current,2017-01-20,2019-03-02,0.0,0.0,0.0
2020-06-05 17:42:43.443528,click,visitor,True,,,,,,,,
2020-06-05 17:45:25.848305,email,ghfc,True,3249.0,Lettuce Plan,Current,2017-01-14,2017-01-14,0.0,2.92,2.17
2020-06-05 18:01:25.109214,email,ghfc,False,3886.0,Zucchini Plan,Expired,2018-09-01,2018-09-01,7.75,9.58,4.91
2020-06-05 18:06:13.071225,click,psfc,True,,,,,,,,
2020-06-05 18:18:49.039916,click,psfc,True,,,,,,,,
2020-06-05 18:22:11.489951,email,ghfc,True,3460.0,Lettuce Plan,Current,2017-01-14,2017-01-14,1.089999999999999,1.83,2.58
2020-06-05 18:22:21.349498,click,psfc,True,,,,,,,,
2020-06-05 18:22:26.154239,click,psfc,True,,,,,,,,
2020-06-05 18:23:48.237156,barcode,ghfc,True,829.0,Carrot Plan,Current,2010-10-24,2010-10-24,10.75,0.75,1.42
2020-06-05 18:24:11.971120,barcode,ghfc,True,829.0,Carrot Plan,Current,2010-10-24,2010-10-24,10.75,0.75,1.42
2020-06-05 18:31:00.934467,click,psfc,True,,,,,,,,
2020-06-06 09:46:22.301085,email,ghfc,True,3131.0,Carrot Plan,Current,2016-11-09,2016-11-09,0.0,0.0,3.0
2020-06-06 09:46:58.213166,click,visitor,True,,,,,,,,
2020-06-06 09:53:57.904988,barcode,ghfc,True,4163.0,Lettuce Plan,Current,2018-08-04,2018-08-04,0.0,0.0,4.67
2020-06-06 10:05:08.988483,barcode,ghfc,True,728.0,Lettuce Plan,Current,2010-04-22,2010-04-22,0.0,4.0,0.0
2020-06-06 10:06:43.497338,email,ghfc,True,4635.0,Carrot Plan,Current,2019-04-07,2019-12-13,0.0,2.75,2.08
2020-06-06 10:10:31.582319,click,psfc,True,,,,,,,,
2020-06-06 10:17:06.545675,barcode,ghfc,True,4736.0,Lettuce Plan,Current,2019-04-28,2019-04-28,2.42,10.83,5.42
2020-06-06 10:20:06.809121,email,ghfc,True,3415.0,Carrot Plan,Current,2016-12-27,2016-12-27,0.0,2.25,7.25
2020-06-06 10:25:56.513385,click,psfc,True,,,,,,,,
2020-06-06 10:27:43.089089,email,ghfc,True,484.0,Lettuce Plan,Current,2019-01-05,2019-04-15,0.0,5.0,2.5
2020-06-06 10:54:12.155642,click,psfc,True,,,,,,,,
2020-06-06 11:07:54.749910,click,visitor,True,,,,,,,,
2020-06-06 11:15:00.408964,barcode,ghfc,True,4823.0,Carrot Plan,Current,2019-05-21,2019-07-03,0.0,10.66,2.58
2020-06-06 11:25:14.970764,barcode,ghfc,True,3963.0,Lettuce Plan,Re-activated,2018-09-04,2020-01-17,3.5,1.0,0.0
2020-06-06 11:31:56.033292,click,visitor,True,,,,,,,,
2020-06-06 11:31:58.446457,click,visitor,True,,,,,,,,
2020-06-06 11:32:01.083035,click,visitor,True,,,,,,,,
2020-06-06 11:32:27.559198,click,visitor,True,,,,,,,,
2020-06-06 11:32:41.131330,click,visitor,True,,,,,,,,
2020-06-06 11:32:44.324251,click,visitor,True,,,,,,,,
2020-06-06 11:40:45.033581,click,visitor,True,,,,,,,,
2020-06-06 11:49:09.276262,barcode,ghfc,True,5649.0,Zucchini Plan,Current,2020-02-04,2020-02-04,2.5,2.42,2.5
2020-06-06 11:50:04.365569,barcode,ghfc,True,5688.0,Zucchini Plan,Current,2020-02-15,2020-02-15,0.0,2.58,5.17
2020-06-06 11:52:40.752441,email,ghfc,True,3826.0,Lettuce Plan,Current,2017-12-02,2017-12-02,0.0,4.67,0.0
2020-06-06 11:56:17.202235,email,trial,False,690.0,,,,,,,
2020-06-06 11:56:21.484100,click,visitor,True,,,,,,,,
2020-06-06 11:56:33.711048,click,visitor,True,,,,,,,,
2020-06-06 12:01:54.451844,click,psfc,True,,,,,,,,
2020-06-06 12:01:54.990088,click,psfc,True,,,,,,,,
2020-06-06 12:27:52.083818,click,visitor,True,,,,,,,,
2020-06-06 12:30:16.308208,click,visitor,True,,,,,,,,
2020-06-06 12:30:22.252995,click,visitor,True,,,,,,,,
2020-06-06 12:45:16.727509,click,visitor,True,,,,,,,,
2020-06-06 12:45:17.266094,click,visitor,True,,,,,,,,
2020-06-06 12:54:30.788318,email,ghfc,True,65.0,Carrot Plan,Current,2018-09-17,2018-09-17,0.0,5.09,1.5
2020-06-06 13:19:51.117248,barcode,ghfc,True,5422.0,Lettuce Plan,Current,2020-01-08,2020-01-08,2.58,0.0,2.5
2020-06-06 13:20:17.977982,click,psfc,True,,,,,,,,
2020-06-06 13:21:04.372321,email,ghfc,True,1045.0,Lettuce Plan,Current,2011-04-20,2011-04-20,2.42,2.42,2.42
2020-06-06 13:22:39.809543,click,psfc,True,,,,,,,,
2020-06-06 13:30:40.924112,email,ghfc,True,2511.0,Carrot Plan,Current,2013-11-30,2013-11-30,3.08,0.0,0.0
2020-06-06 13:36:46.663109,barcode,ghfc,True,5012.0,Carrot Plan,New,2020-05-01,2020-05-01,0.0,2.75,2.5
2020-06-06 13:46:51.593050,email,ghfc,True,5187.0,Lettuce Plan,Current,2019-11-04,2019-11-04,0.0,10.67,7.58
2020-06-06 13:49:12.220241,barcode,ghfc,True,5623.0,Carrot Plan,Current,2020-03-05,2020-03-05,2.5,4.5,8.25
2020-06-06 14:06:37.462591,email,ghfc,True,2704.0,Lettuce Plan,Current,2014-09-18,2014-09-18,2.5,2.58,2.92
2020-06-06 14:12:02.464482,email,ghfc,True,5423.0,Lettuce Plan,Current,2019-12-29,2019-12-29,2.58,2.5,2.5
2020-06-06 14:13:26.942178,barcode,ghfc,True,5329.0,Lettuce Plan,Current,2019-11-10,2019-11-10,0.0,4.0,2.5
2020-06-06 14:20:34.357061,click,visitor,True,,,,,,,,
2020-06-06 14:29:53.793470,email,trial,False,4596.0,,,,,,,
2020-06-06 14:30:03.298239,click,psfc,True,,,,,,,,
2020-06-06 14:56:35.855779,email,ghfc,True,2827.0,Carrot Plan,Current,2016-01-03,2016-01-03,2.75,4.42,8.42
2020-06-06 15:25:58.240431,email,trial,True,5823.0,,,,,,,
2020-06-06 15:46:08.758159,barcode,ghfc,True,2779.0,Carrot Plan,Current,2015-05-11,2018-10-10,0.909999999999999,9.67,7.25
2020-06-06 15:46:16.628219,barcode,ghfc,True,2779.0,Carrot Plan,Current,2015-05-11,2018-10-10,0.909999999999999,9.67,7.25
2020-06-06 15:46:26.628910,barcode,ghfc,True,2779.0,Carrot Plan,Current,2015-05-11,2018-10-10,0.909999999999999,9.67,7.25
2020-06-06 16:04:30.326869,barcode,ghfc,True,2402.0,Carrot Plan,Current,2013-07-23,2013-07-23,2.25,2.5,7.74
2020-06-06 16:07:16.416541,email,ghfc,True,2389.0,Lettuce Plan,Current,2013-07-09,2013-07-09,2.42,2.17,2.5
2020-06-06 16:08:56.648666,email,ghfc,True,3249.0,Lettuce Plan,Current,2017-01-14,2017-01-14,0.0,2.92,2.17
2020-06-06 16:19:16.459742,click,visitor,True,,,,,,,,
2020-06-06 16:24:53.343930,email,trial,False,4338.0,,,,,,,
2020-06-06 16:30:23.476571,click,psfc,True,,,,,,,,
2020-06-06 16:37:29.720654,barcode,ghfc,True,4784.0,Carrot Plan,Current,2019-05-10,2019-05-10,2.75,2.5,2.5
2020-06-06 16:42:54.327322,click,visitor,True,,,,,,,,
2020-06-06 16:42:58.121111,click,visitor,True,,,,,,,,
2020-06-06 16:46:20.308026,click,visitor,True,,,,,,,,
2020-06-06 17:11:57.504148,email,ghfc,True,283.0,Carrot Plan,Current,2018-10-23,2018-10-23,2.58,2.5,2.75
2020-06-06 17:18:54.072309,barcode,ghfc,True,5028.0,Lettuce Plan,Current,2019-08-26,2020-03-06,0.0,2.67,2.75
2020-06-06 17:23:45.653343,email,ghfc,True,5525.0,Zucchini Plan,Current,2020-01-31,2020-01-31,,,
2020-06-07 14:25:52.213737,email,ghfc,True,4291.0,Lettuce Plan,Current,2019-02-04,2019-02-04,2.67,2.5,2.5
2020-06-07 14:40:00.892248,email,ghfc,True,3162.0,Carrot Plan,Current,2019-02-20,2019-09-21,2.25,2.5,2.5
2020-06-07 14:47:20.994098,click,visitor,True,,,,,,,,
2020-06-07 14:47:22.480694,click,visitor,True,,,,,,,,
2020-06-07 14:47:23.520758,click,visitor,True,,,,,,,,
2020-06-07 14:47:25.322969,click,visitor,True,,,,,,,,
2020-06-07 14:47:29.207316,click,visitor,True,,,,,,,,
2020-06-07 14:47:30.246774,click,visitor,True,,,,,,,,
2020-06-07 14:47:33.049403,click,visitor,True,,,,,,,,
2020-06-07 14:47:54.461445,click,psfc,True,,,,,,,,
2020-06-07 14:55:54.208120,barcode,ghfc,True,2779.0,Carrot Plan,Current,2015-05-11,2018-10-10,0.909999999999999,9.67,7.25
2020-06-07 14:56:24.755043,click,visitor,True,,,,,,,,
2020-06-07 14:56:56.781426,click,visitor,True,,,,,,,,
2020-06-07 15:09:58.803080,email,ghfc,True,79.0,Lettuce Plan,Current,2019-07-29,2019-07-29,0.0,2.67,2.92
2020-06-07 15:11:14.997355,email,ghfc,True,3124.0,Carrot Plan,Current,2016-09-10,2016-09-10,0.0,2.58,2.83
2020-06-07 15:20:41.491145,email,trial,False,5601.0,,,,,,,
2020-06-07 15:20:52.929222,click,visitor,True,,,,,,,,
2020-06-07 15:30:18.158012,email,trial,True,5815.0,,,,,,,
2020-06-07 15:32:34.586343,barcode,ghfc,True,3632.0,Lettuce Plan,Current,2017-05-01,2017-05-01,2.5,0.0,0.0
2020-06-07 15:32:48.671860,email,ghfc,True,3632.0,Lettuce Plan,Current,2017-05-01,2017-05-01,2.5,0.0,0.0
2020-06-07 15:33:05.466506,barcode,ghfc,True,3632.0,Lettuce Plan,Current,2017-05-01,2017-05-01,2.5,0.0,0.0
2020-06-07 15:41:19.178603,click,visitor,True,,,,,,,,
2020-06-07 15:41:41.002979,click,visitor,True,,,,,,,,
2020-06-07 16:02:47.083191,email,ghfc,True,159.0,Carrot Plan,Current,2018-09-16,2018-12-16,0.0,2.5,0.0
2020-06-07 16:05:00.603411,click,visitor,True,,,,,,,,
2020-06-07 16:18:10.794897,click,visitor,True,,,,,,,,
2020-06-07 16:18:27.271891,click,visitor,True,,,,,,,,
2020-06-07 16:25:52.416079,email,ghfc,True,5161.0,Lettuce Plan,Current,2019-11-05,2019-11-05,0.0,2.58,2.67
2020-06-07 16:26:01.202298,click,visitor,True,,,,,,,,
2020-06-07 16:26:04.893056,click,visitor,True,,,,,,,,
2020-06-07 16:43:17.062169,barcode,ghfc,True,5833.0,Zucchini Plan,New,2020-06-03,2020-06-03,,,
2020-06-07 16:46:34.370452,barcode,ghfc,True,4817.0,Carrot Plan,Current,2019-05-20,2019-05-20,2.75,2.42,2.5
2020-06-07 16:52:40.740862,barcode,ghfc,True,5571.0,Zucchini Plan,Current,2020-02-26,2020-02-26,0.0,3.0,0.0
2020-06-07 16:52:47.275882,barcode,ghfc,True,5571.0,Zucchini Plan,Current,2020-02-26,2020-02-26,0.0,3.0,0.0
2020-06-07 17:00:01.498170,email,ghfc,True,5711.0,Zucchini Plan,New,2020-06-03,2020-06-03,,,
2020-06-07 17:11:46.486772,click,visitor,True,,,,,,,,
2020-06-07 17:18:11.653621,click,psfc,True,,,,,,,,
2020-06-08 15:11:37.463496,barcode,ghfc,True,25.0,Apple Plan,Current,2018-10-01,2018-10-01,0.0,4.0,5.0
2020-06-08 15:11:41.829049,barcode,ghfc,True,25.0,Apple Plan,Current,2018-10-01,2018-10-01,0.0,4.0,5.0
2020-06-08 15:16:30.527491,barcode,trial,True,5836.0,,,,,,,
2020-06-08 15:33:51.549558,click,psfc,True,,,,,,,,
2020-06-08 15:34:15.381824,barcode,ghfc,True,1508.0,Lettuce Plan,Current,2012-02-10,2012-02-10,2.5,2.5,2.83
2020-06-08 15:35:31.336026,email,ghfc,False,5635.0,Zucchini Plan,General Leave,2020-03-09,2020-03-25,,,
2020-06-08 15:37:08.255689,click,psfc,True,,,,,,,,
2020-06-08 15:50:52.153135,barcode,trial,True,5840.0,,,,,,,
2020-06-08 15:52:45.168337,email,ghfc,True,4585.0,Carrot Plan,Current,2019-03-27,2019-05-06,0.0,2.42,2.83
2020-06-08 15:52:57.508901,email,ghfc,True,4585.0,Carrot Plan,Current,2019-03-27,2019-05-06,0.0,2.42,2.83
2020-06-08 16:00:13.457084,barcode,ghfc,True,5841.0,Lettuce Plan,New,2020-06-08,2020-06-08,,,
2020-06-08 16:09:44.849735,barcode,ghfc,True,1503.0,Lettuce Plan,Current,2012-02-08,2020-01-04,2.25,0.0,2.25
2020-06-08 16:23:50.441511,click,visitor,True,,,,,,,,
2020-06-08 16:23:53.101020,click,visitor,True,,,,,,,,
2020-06-08 16:24:02.693858,click,visitor,True,,,,,,,,
2020-06-08 16:31:19.969855,click,visitor,True,,,,,,,,
2020-06-08 16:39:10.904275,barcode,ghfc,True,5028.0,Lettuce Plan,Current,2019-08-26,2020-03-06,0.0,2.67,2.75
2020-06-08 16:39:59.032622,email,ghfc,True,705.0,Carrot Plan,Current,2018-12-29,2019-10-14,2.75,5.08,0.0
2020-06-08 16:49:21.301253,click,visitor,True,,,,,,,,
2020-06-08 16:59:23.967274,click,psfc,True,,,,,,,,
2020-06-08 17:00:57.416752,email,ghfc,True,2665.0,Lettuce Plan,Current,2014-08-06,2014-08-06,0.0,0.0,4.0
2020-06-08 17:06:45.692807,email,ghfc,True,4784.0,Carrot Plan,Current,2019-05-10,2019-05-10,2.75,2.5,2.5
2020-06-08 17:09:27.619436,email,ghfc,True,5507.0,Zucchini Plan,Current,2020-01-20,2020-01-20,2.67,2.58,2.5
2020-06-08 17:30:21.260212,click,visitor,True,,,,,,,,
2020-06-08 17:36:07.956044,email,ghfc,True,4514.0,Lettuce Plan,Current,2019-04-21,2019-12-08,2.33,2.5,2.67
2020-06-08 17:41:52.933587,email,ghfc,True,1009.0,Lettuce Plan,Current,2011-03-16,2018-10-18,0.0,2.25,2.5
2020-06-08 18:02:42.747647,click,visitor,True,,,,,,,,
2020-06-08 18:03:34.983262,click,visitor,True,,,,,,,,
2020-06-08 18:03:35.214775,click,visitor,True,,,,,,,,
2020-06-08 18:03:54.888293,click,visitor,True,,,,,,,,
2020-06-08 18:03:55.207169,click,visitor,True,,,,,,,,
2020-06-08 18:03:57.101732,click,visitor,True,,,,,,,,
2020-06-08 18:04:00.625560,click,visitor,True,,,,,,,,
2020-06-08 18:04:06.632037,click,visitor,True,,,,,,,,
2020-06-08 18:04:06.938864,click,visitor,True,,,,,,,,
2020-06-08 18:04:07.114123,click,visitor,True,,,,,,,,
2020-06-08 18:04:13.740160,click,visitor,True,,,,,,,,
2020-06-08 18:04:13.943341,click,visitor,True,,,,,,,,
2020-06-08 18:05:48.385856,email,ghfc,True,1356.0,Lettuce Plan,Current,2011-12-31,2018-08-01,0.0,5.33,3.0
2020-06-08 18:14:15.602058,email,ghfc,False,4841.0,Zucchini Plan,Expired,2019-05-28,2019-05-28,0.0,2.58,2.5
2020-06-08 18:23:17.653897,click,visitor,True,,,,,,,,
2020-06-08 18:29:23.849079,click,visitor,True,,,,,,,,
2020-06-08 18:45:10.940093,email,ghfc,True,2930.0,Lettuce Plan,Current,2019-09-17,2019-09-17,2.25,2.33,0.0
2020-06-08 18:49:09.365373,email,trial,True,5824.0,,,,,,,
2020-06-08 18:54:24.254384,email,ghfc,True,5812.0,Apple Plan,New,2020-05-12,2020-05-12,0.0,0.0,0.0
2020-06-08 19:14:03.835470,email,ghfc,True,2577.0,Carrot Plan,Current,2014-03-17,2014-03-17,2.67,2.67,0.0
